type,n_fft,hop_len,win_len,n_mel,n_mfcc,Accuracy,Epoch,Test Loss,Test F1,Max AUC-ROC,Max Confusion Matrix,Train Accuracy,Train Loss,Train F1,Train AUC-ROC,Train Confusion Matrix
mel,2048,2048,2048,128,0,47.252747252747255,12.0,1.6243999004364014,0.4631569507459568,75.6635530567149,"[[19  0  0  0  0  0  1  0  0]
 [ 0  0  0  0  1  0  1  0  0]
 [ 0  0  3  0  0  5  4  0  0]
 [ 0  0  3  0  0  1  0  0  0]
 [ 1  0  2  0  5  4  1  0  0]
 [ 1  0  2  0  0  9  1  0  0]
 [ 1  0  3  0  2  2  6  1  0]
 [ 0  0  1  0  2  4  2  1  0]
 [ 0  0  2  0  0  0  0  0  0]]",45.15235457063712,1.5057558119297028,0.4419190182824129,79.74941428759011,"[[65  0  5  0  2  2  3  0  0]
 [ 0  0  1  0  5  1  3  0  0]
 [ 2  0 13  0  7 21 17  1  0]
 [ 0  0  2  0  0  1  5  2  0]
 [ 1  0 13  0 25  3 11  3  0]
 [ 0  0  5  0  2 33  5  1  0]
 [ 7  0 16  0  8  9 18  0  0]
 [ 4  0  5  0  4  7  7  9  0]
 [ 0  0  2  0  1  3  1  0  0]]"
mel,2048,512,512,128,0,48.35164835164835,74.0,2.1724038124084477,0.4761249710773795,76.7379001361278,"[[20  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  2  0  0]
 [ 0  0  6  0  1  2  2  1  0]
 [ 1  0  0  0  0  0  3  0  0]
 [ 1  0  2  0  3  2  5  0  0]
 [ 1  0  3  0  0  3  5  1  0]
 [ 1  0  2  0  0  0  9  2  1]
 [ 0  0  2  0  1  1  4  2  0]
 [ 0  0  1  0  0  0  0  0  1]]",71.74515235457064,0.8122379779815674,0.7021853175381986,95.0986529324988,"[[76  0  0  0  0  0  1  0  0]
 [ 0  0  0  0  5  0  5  0  0]
 [ 0  0 47  0  4  5  5  0  0]
 [ 0  0  0  0  0  0  9  1  0]
 [ 1  0  1  0 51  0  3  0  0]
 [ 0  0  5  0  0 31  6  4  0]
 [ 4  0  5  0  3  1 41  4  0]
 [ 7  0  3  0  1  0 13 12  0]
 [ 4  0  0  0  0  0  0  2  1]]"
mel,2048,512,2048,64,0,46.15384615384615,68.0,1.8314975500106807,0.4387816855536512,76.4929862447317,"[[19  0  0  0  0  0  1  0  0]
 [ 0  0  0  0  2  0  0  0  0]
 [ 1  0  6  0  3  2  0  0  0]
 [ 1  0  1  0  1  0  1  0  0]
 [ 2  0  1  0  7  3  0  0  0]
 [ 2  0  5  0  0  5  1  0  0]
 [ 0  0  7  0  1  1  4  2  0]
 [ 0  0  3  0  2  1  3  1  0]
 [ 1  0  1  0  0  0  0  0  0]]",67.03601108033241,0.985006645321846,0.6450560154859817,93.3859156898993,"[[74  0  0  0  0  0  2  0  1]
 [ 0  0  0  0  8  0  2  0  0]
 [ 0  0 43  0 10  4  2  2  0]
 [ 0  0  1  0  0  0  7  2  0]
 [ 1  0  2  0 51  1  1  0  0]
 [ 0  0  4  0  4 34  0  4  0]
 [ 3  0 10  0  7  1 30  7  0]
 [ 5  0  8  0  2  2 11  8  0]
 [ 4  0  0  0  0  0  1  0  2]]"
mel,2048,512,2048,192,0,52.747252747252745,53.0,1.6930121183395386,0.5140478466001441,77.13165080506657,"[[20  0  0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  1  0  0]
 [ 0  0  2  0  5  4  1  0  0]
 [ 0  0  1  0  1  1  0  0  1]
 [ 1  0  1  0  7  3  1  0  0]
 [ 1  0  0  0  0 10  2  0  0]
 [ 1  0  3  0  2  2  6  1  0]
 [ 0  0  0  0  1  3  2  2  2]
 [ 0  0  0  0  1  0  0  0  1]]",65.65096952908587,0.9251288175582886,0.6294662927555806,93.57089299882244,"[[74  0  1  0  1  0  1  0  0]
 [ 0  0  1  0  8  0  1  0  0]
 [ 3  0 39  0  9  9  1  0  0]
 [ 0  0  0  0  0  2  7  0  1]
 [ 1  0  0  0 54  1  0  0  0]
 [ 1  0  1  0  1 37  5  1  0]
 [ 9  0  5  0  7  6 22  6  3]
 [ 5  0  3  0  2  8 11  6  1]
 [ 1  0  0  0  0  0  1  0  5]]"
mel,2048,1024,2048,128,0,43.95604395604396,74.0,2.6767280101776123,0.3916705862231154,75.54684782454532,"[[18  0  1  0  1  0  0  0  0]
 [ 0  0  1  0  1  0  0  0  0]
 [ 0  0  8  0  3  1  0  0  0]
 [ 0  0  1  0  1  1  1  0  0]
 [ 0  0  4  0  8  1  0  0  0]
 [ 1  0  6  0  0  6  0  0  0]
 [ 1  0  9  0  3  1  0  1  0]
 [ 0  0  5  0  2  3  0  0  0]
 [ 0  0  1  0  0  0  1  0  0]]",69.25207756232687,0.8415693491697311,0.7115940641743794,95.56436862695811,"[[75  0  0  0  1  0  1  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 0  0 57  0  4  0  0  0  0]
 [ 0  0  8  0  0  0  2  0  0]
 [ 0  0  0  0 56  0  0  0  0]
 [ 0  0  7  0  1 38  0  0  0]
 [ 6  0 24  0  8  0 19  0  1]
 [ 4  0 23  0  2  6  0  1  0]
 [ 0  0  2  0  0  0  1  0  4]]"
mel,2048,512,1024,128,0,50.54945054945055,19.0,1.6492805480957031,0.4232184462382772,72.38629610411729,"[[19  0  0  0  0  0  1  0  0]
 [ 0  0  1  0  1  0  0  0  0]
 [ 0  0 10  0  0  2  0  0  0]
 [ 0  0  0  0  0  4  0  0  0]
 [ 1  0  1  0  6  5  0  0  0]
 [ 1  0  0  0  1 11  0  0  0]
 [ 1  0  4  0  5  5  0  0  0]
 [ 0  0  2  0  2  5  1  0  0]
 [ 0  0  1  0  0  1  0  0  0]]",43.49030470914128,1.517041951417923,0.4062428143121315,81.03661365781498,"[[67  0  2  0  0  5  3  0  0]
 [ 0  0  3  0  5  2  0  0  0]
 [ 1  0 19  0 12 27  2  0  0]
 [ 1  0  3  0  2  4  0  0  0]
 [ 1  0 15  0 30 10  0  0  0]
 [ 0  0  4  0  6 36  0  0  0]
 [ 6  0 15  0 11 21  5  0  0]
 [ 6  0  5  0 13 10  2  0  0]
 [ 0  0  1  0  0  5  1  0  0]]"
mel,2048,256,2048,128,0,49.45054945054945,65.0,1.7602922916412354,0.4887146008096775,78.53169877566032,"[[17  0  1  0  0  0  2  0  0]
 [ 0  0  0  0  1  0  1  0  0]
 [ 0  0  4  0  5  1  1  1  0]
 [ 0  0  0  0  1  0  3  0  0]
 [ 1  0  4  0  3  1  4  0  0]
 [ 1  0  1  0  0  8  3  0  0]
 [ 0  0  2  0  1  0 12  0  0]
 [ 0  0  0  0  1  2  6  1  0]
 [ 0  0  1  0  0  0  1  0  0]]",69.80609418282549,0.8796537816524506,0.6942472255219754,93.7433902703314,"[[70  0  2  0  0  0  4  0  1]
 [ 0  0  1  0  3  0  6  0  0]
 [ 0  0 46  0  8  5  2  0  0]
 [ 0  0  1  0  0  0  9  0  0]
 [ 1  0  3  0 48  1  3  0  0]
 [ 0  0  2  0  1 34  8  1  0]
 [ 0  0  4  0  4  0 47  1  2]
 [ 2  0  2  0  0  2 25  3  2]
 [ 0  0  0  0  0  0  3  0  4]]"
mel,2048,512,2048,128,0,47.252747252747255,32.0,1.631537914276123,0.4261824454867358,77.69215898604806,"[[19  0  1  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  1  0  0]
 [ 0  0  0  0  3  1  8  0  0]
 [ 0  0  0  0  0  0  4  0  0]
 [ 1  0  0  0  4  2  6  0  0]
 [ 1  0  2  0  0  6  4  0  0]
 [ 1  0  0  0  0  0 14  0  0]
 [ 0  0  0  0  1  1  8  0  0]
 [ 0  0  0  0  0  0  2  0  0]]",53.18559556786703,1.3035215735435486,0.5389911513041843,86.9475159520255,"[[71  0  1  0  0  1  4  0  0]
 [ 0  0  0  0  3  0  7  0  0]
 [ 0  0 15  0  4 12 30  0  0]
 [ 0  0  0  0  0  0 10  0  0]
 [ 1  0  1  0 24  4 26  0  0]
 [ 0  0  0  0  2 34 10  0  0]
 [ 4  0  1  0  3  2 48  0  0]
 [ 4  0  1  0  1  2 28  0  0]
 [ 0  0  0  0  0  1  6  0  0]]"
mel,1024,512,512,128,0,43.95604395604396,87.0,2.5152645111083984,0.4734443415199502,73.8908424295196,"[[18  0  0  0  0  0  2  0  0]
 [ 0  0  0  0  0  0  2  0  0]
 [ 0  0  7  0  0  2  2  1  0]
 [ 0  0  0  0  0  1  2  0  1]
 [ 0  0  4  0  2  1  6  0  0]
 [ 1  0  4  0  0  5  2  1  0]
 [ 1  0  5  0  0  0  7  1  1]
 [ 0  0  2  0  0  2  5  1  0]
 [ 0  0  1  0  0  0  1  0  0]]",76.73130193905817,0.6812032610177994,0.7650887041408319,96.67239579406774,"[[76  0  0  0  0  0  1  0  0]
 [ 0  0  0  0  4  0  6  0  0]
 [ 0  0 56  0  3  1  1  0  0]
 [ 0  0  0  0  0  0  8  2  0]
 [ 0  0 12  0 38  0  6  0  0]
 [ 0  0  6  0  0 36  4  0  0]
 [ 0  0  6  0  1  0 50  1  0]
 [ 2  0  1  0  1  0 16 16  0]
 [ 0  0  0  0  0  0  2  0  5]]"
mel,4096,512,4096,128,0,46.15384615384615,50.0,1.7854394912719729,0.4983700944075187,73.04117929085146,"[[19  0  1  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0  0  0]
 [ 0  0  5  0  6  1  0  0  0]
 [ 1  0  0  0  2  0  0  1  0]
 [ 0  0  1  0 10  1  0  1  0]
 [ 1  0  4  0  1  6  0  1  0]
 [ 1  0  3  0 10  0  1  0  0]
 [ 0  0  1  0  5  3  0  1  0]
 [ 0  0  0  0  2  0  0  0  0]]",54.84764542936288,1.2678095549345016,0.5387999660223594,86.167264745508,"[[73  0  1  0  3  0  0  0  0]
 [ 0  0  0  0 10  0  0  0  0]
 [ 0  0 26  0 25  4  5  1  0]
 [ 0  0  2  0  6  1  1  0  0]
 [ 1  0  0  0 54  1  0  0  0]
 [ 0  0  4  0 10 31  0  1  0]
 [ 7  0  9  0 25  3 10  4  0]
 [ 5  0 10  0 14  2  1  4  0]
 [ 0  0  2  0  1  0  4  0  0]]"
